,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,3.33,14.61,35.28,20.64,24.99,18.88,4.39
DCC_bivariate_loop,,,3.33,,11.31,32.47,17.71,21.28,15.95,0.36
SW_cross_validated,,,14.61,11.31,,22.43,7.32,8.97,5.57,-12.26
SW_15,,,35.28,32.47,22.43,,-14.73,-15.26,-16.35,-34.07
SW_30,,,20.64,17.71,7.32,-14.73,,0.67,-1.66,-18.83
SW_60,,,24.99,21.28,8.97,-15.26,0.67,,-2.50,-23.26
SW_120,,,18.88,15.95,5.57,-16.35,-1.66,-2.50,,-16.98
sFC,,,4.39,0.36,-12.26,-34.07,-18.83,-23.26,-16.98,
