,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.9695e-20,4.1266e-09,1.5461e-09,9.3747e-99,1.0252e-33,1.0953e-45,1.2974e-26,1.0103e-10
DCC_joint,,2.9695e-20,,9.5639e-04,5.2951e-39,1.3448e-124,6.9779e-65,1.5132e-83,3.0245e-57,1.4397e-05
DCC_bivariate_loop,,4.1266e-09,9.5639e-04,,6.8112e-26,6.5337e-114,3.7360e-52,1.2306e-67,1.2217e-44,7.1572e-01
SW_cross_validated,,1.5461e-09,5.2951e-39,6.8112e-26,,1.2545e-72,1.3982e-12,1.2053e-17,4.6293e-08,1.4846e-29
SW_15,,9.3747e-99,1.3448e-124,6.5337e-114,1.2545e-72,,1.6450e-39,1.0515e-41,2.5336e-46,4.5867e-120
SW_30,,1.0252e-33,6.9779e-65,3.7360e-52,1.3982e-12,1.6450e-39,,5.0278e-01,9.8056e-02,5.1438e-57
SW_60,,1.0953e-45,1.5132e-83,1.2306e-67,1.2053e-17,1.0515e-41,5.0278e-01,,1.2809e-02,3.3906e-76
SW_120,,1.2974e-26,3.0245e-57,1.2217e-44,4.6293e-08,2.5336e-46,9.8056e-02,1.2809e-02,,5.0708e-49
sFC,,1.0103e-10,1.4397e-05,7.1572e-01,1.4846e-29,4.5867e-120,5.1438e-57,3.3906e-76,5.0708e-49,
