,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-1.79,1.48,40.72,100.99,68.57,45.11,36.10,-7.26
DCC_joint,,-1.79,,3.17,42.42,102.28,70.11,46.78,37.60,-5.42
DCC_bivariate_loop,,1.48,3.17,,36.72,93.79,62.71,40.80,33.13,-8.38
SW_cross_validated,,40.72,42.42,36.72,,67.86,30.08,4.58,1.48,-49.00
SW_15,,100.99,102.28,93.79,67.86,,-40.69,-63.94,-55.30,-109.47
SW_30,,68.57,70.11,62.71,30.08,-40.69,,-25.62,-23.14,-77.28
SW_60,,45.11,46.78,40.80,4.58,-63.94,-25.62,,-2.29,-53.47
SW_120,,36.10,37.60,33.13,1.48,-55.30,-23.14,-2.29,,-43.07
sFC,,-7.26,-5.42,-8.38,-49.00,-109.47,-77.28,-53.47,-43.07,
