,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,0.23,1.26,3.43,1.31,0.59,1.99,16.11
DCC_bivariate_loop,,,0.23,,1.08,3.26,1.10,0.36,1.79,15.68
SW_cross_validated,,,1.26,1.08,,1.83,0.11,0.79,0.48,8.59
SW_15,,,3.43,3.26,1.83,,2.12,2.91,1.49,5.84
SW_30,,,1.31,1.10,0.11,2.12,,0.76,0.65,10.66
SW_60,,,0.59,0.36,0.79,2.91,0.76,,1.44,14.05
SW_120,,,1.99,1.79,0.48,1.49,0.65,1.44,,9.23
sFC,,,16.11,15.68,8.59,5.84,10.66,14.05,9.23,
