,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.070,0.061,0.161,0.208,0.241,,,0.289,0.408,0.182,,0.202
DCC_joint,0.065,0.046,0.189,0.234,0.267,,,0.246,0.219,0.169,,0.179
DCC_bivariate_loop,0.074,0.048,0.192,0.237,0.269,,,0.249,0.228,0.171,,0.183
SW_cross_validated,0.157,0.199,0.223,0.254,0.275,,,0.271,0.256,0.237,,0.234
SW_15,0.293,0.339,0.313,0.316,0.323,,,0.320,0.328,0.322,,0.319
SW_30,0.213,0.245,0.224,0.237,0.270,,,0.267,0.251,0.259,,0.246
SW_60,0.164,0.192,0.182,0.269,0.407,,,0.332,0.234,0.244,,0.253
SW_120,0.159,0.194,0.256,0.481,0.495,,,0.328,0.276,0.242,,0.304
sFC,0.053,0.019,0.437,0.437,0.438,,,0.309,0.501,0.167,,0.295
