,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,1.,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_joint,nan,-0.6795,-,1.,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,nan,-1.3284,-1.4349,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,nan,8.893,18.7635,19.9707,-,0.75,1.,0.0000,0.0000,0.0000
SW_15,nan,7.8066,17.7291,19.0477,-2.3202,-,0.0709,0.0000,0.0000,0.0000
SW_30,nan,9.4026,21.4402,22.7853,0.5254,3.1157,-,0.0000,0.0000,0.0000
SW_60,nan,-20.9859,-53.5257,-51.7187,-64.9928,-69.7679,-76.0971,-,0.0038,0.0000
SW_120,nan,-19.3828,-44.8199,-43.1898,-57.7199,-60.7246,-66.0079,3.9196,-,1.
sFC,nan,-19.8817,-54.9509,-52.9882,-65.9445,-71.8377,-78.9964,6.7543,0.3715,-
