,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.43,0.24,0.87,4.22,2.68,1.42,0.81,0.65
DCC_joint,,0.43,,0.19,1.32,4.59,3.12,1.87,1.22,0.20
DCC_bivariate_loop,,0.24,0.19,,1.10,4.38,2.89,1.64,1.02,0.39
SW_cross_validated,,0.87,1.32,1.10,,3.54,1.87,0.55,0.00,1.57
SW_15,,4.22,4.59,4.38,3.54,,1.91,3.11,3.41,4.83
SW_30,,2.68,3.12,2.89,1.87,1.91,,1.35,1.77,3.41
SW_60,,1.42,1.87,1.64,0.55,3.11,1.35,,0.52,2.14
SW_120,,0.81,1.22,1.02,0.00,3.41,1.77,0.52,,1.45
sFC,,0.65,0.20,0.39,1.57,4.83,3.41,2.14,1.45,
