,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.6583e-22,8.1597e-13,4.3527e-13,5.1083e-83,2.3724e-26,1.3555e-52,5.1514e-32,7.4801e-10
DCC_joint,,1.6583e-22,,2.3365e-03,5.8023e-47,3.1537e-105,3.2030e-53,1.6403e-85,1.2849e-63,1.4910e-08
DCC_bivariate_loop,,8.1597e-13,2.3365e-03,,3.2750e-36,5.0697e-99,3.9422e-45,2.4038e-76,2.2751e-54,2.2405e-02
SW_cross_validated,,4.3527e-13,5.8023e-47,3.2750e-36,,3.6465e-60,2.0373e-08,6.8743e-23,1.3824e-09,3.6685e-35
SW_15,,5.1083e-83,3.1537e-105,5.0697e-99,3.6465e-60,,1.2909e-31,6.6410e-26,5.1490e-36,3.0322e-99
SW_30,,2.3724e-26,3.2030e-53,3.9422e-45,2.0373e-08,1.2909e-31,,3.1298e-03,8.0866e-01,1.9425e-43
SW_60,,1.3555e-52,1.6403e-85,2.4038e-76,6.8743e-23,6.6410e-26,3.1298e-03,,3.7326e-04,4.6757e-78
SW_120,,5.1514e-32,1.2849e-63,2.2751e-54,1.3824e-09,5.1490e-36,8.0866e-01,3.7326e-04,,6.8457e-54
sFC,,7.4801e-10,1.4910e-08,2.2405e-02,3.6685e-35,3.0322e-99,1.9425e-43,4.6757e-78,6.8457e-54,
