,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.3942e-41,6.7466e-36,1.1136e-08,3.9582e-21,1.7582e-12,1.0455e-45,5.9386e-37,7.6406e-14
DCC_joint,,1.3942e-41,,2.0646e-01,5.2370e-26,4.3433e-116,1.0882e-20,3.0148e-197,3.4851e-174,2.1429e-174
DCC_bivariate_loop,,6.7466e-36,2.0646e-01,,5.1001e-22,2.3199e-104,4.8033e-17,1.9920e-180,6.4394e-169,1.9717e-120
SW_cross_validated,,1.1136e-08,5.2370e-26,5.1001e-22,,8.6112e-58,1.0171e-01,1.3212e-107,2.4847e-92,2.3717e-65
SW_15,,3.9582e-21,4.3433e-116,2.3199e-104,8.6112e-58,,4.6452e-67,4.3916e-08,9.8429e-04,1.7179e-09
SW_30,,1.7582e-12,1.0882e-20,4.8033e-17,1.0171e-01,4.6452e-67,,6.2236e-122,1.7694e-105,5.5962e-81
SW_60,,1.0455e-45,3.0148e-197,1.9920e-180,1.3212e-107,4.3916e-08,6.2236e-122,,1.8235e-03,2.1531e-88
SW_120,,5.9386e-37,3.4851e-174,6.4394e-169,2.4847e-92,9.8429e-04,1.7694e-105,1.8235e-03,,1.2857e-48
sFC,,7.6406e-14,2.1429e-174,1.9717e-120,2.3717e-65,1.7179e-09,5.5962e-81,2.1531e-88,1.2857e-48,
