,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,5.2042e-22,4.7260e-25,2.6394e-51,1.2752e-160,1.9390e-63,8.2406e-14,5.4557e-108,6.8362e-316
DCC_joint,,5.2042e-22,,1.8379e-01,2.0972e-24,5.5560e-152,1.0496e-33,4.2862e-03,1.4399e-87,0.0000e+00
DCC_bivariate_loop,,4.7260e-25,1.8379e-01,,3.2855e-20,2.9333e-136,3.1898e-28,4.8521e-05,1.9604e-79,3.4933e-213
SW_cross_validated,,2.6394e-51,2.0972e-24,3.2855e-20,,9.1015e-81,9.6379e-01,1.7083e-31,5.6227e-19,8.1111e-241
SW_15,,1.2752e-160,5.5560e-152,2.9333e-136,9.1015e-81,,1.9914e-95,9.3066e-157,3.2396e-53,2.5187e-175
SW_30,,1.9390e-63,1.0496e-33,3.1898e-28,9.6379e-01,1.9914e-95,,1.4471e-42,1.8037e-24,1.7770e-285
SW_60,,8.2406e-14,4.2862e-03,4.8521e-05,1.7083e-31,9.3066e-157,1.4471e-42,,1.9149e-95,0.0000e+00
SW_120,,5.4557e-108,1.4399e-87,1.9604e-79,5.6227e-19,3.2396e-53,1.8037e-24,1.9149e-95,,3.7700e-261
sFC,,6.8362e-316,0.0000e+00,3.4933e-213,8.1111e-241,2.5187e-175,1.7770e-285,0.0000e+00,3.7700e-261,
