,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_joint,nan,11.6931,-,1.,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,9.3464,-2.1653,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0031
SW_cross_validated,nan,-34.0386,-41.0272,-39.3979,-,0.0000,0.0000,0.0446,0.6792,0.0000
SW_15,nan,-63.3948,-68.3895,-67.151,-33.3055,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-40.0915,-46.0847,-44.6887,-9.2544,23.2447,-,0.0000,0.0000,0.0000
SW_60,nan,-41.7506,-49.1197,-47.2943,-3.253,32.0072,6.8077,-,1.,0.0000
SW_120,nan,-34.7073,-41.2894,-39.7682,-2.3578,30.4125,6.7915,0.61,-,0.0000
sFC,nan,16.6669,1.2405,3.9672,46.1641,72.7156,50.1892,56.4931,45.7835,-
