,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.037,0.023,0.028,0.016,0.026,0.020,0.027,,0.025,0.047,0.026,0.027
DCC_joint,0.013,0.017,0.011,0.013,0.008,0.011,0.015,,0.016,0.011,0.012,0.013
DCC_bivariate_loop,0.012,0.016,0.011,0.012,0.007,0.011,0.014,,0.015,0.012,0.012,0.012
SW_cross_validated,0.018,0.023,0.020,0.028,0.017,0.029,0.030,,0.018,0.037,0.034,0.025
SW_15,0.006,0.013,0.012,0.016,0.011,0.012,0.021,0.007,0.015,0.010,0.010,0.012
SW_30,0.008,0.016,0.012,0.014,0.012,0.009,0.018,0.010,0.017,0.016,0.012,0.013
SW_60,0.010,0.020,0.017,0.016,0.018,0.012,0.012,0.013,0.019,0.018,0.012,0.015
SW_120,0.014,0.014,0.024,0.025,0.013,0.015,0.015,0.019,0.019,0.015,0.015,0.017
sFC,0.023,0.011,0.017,0.012,0.008,0.011,0.010,0.009,0.010,0.011,0.013,0.012
