,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-1.04,-0.41,4.67,13.23,8.03,5.73,4.66,-0.30
DCC_joint,,-1.04,,1.12,9.41,30.46,17.94,11.74,9.12,1.03
DCC_bivariate_loop,,-0.41,1.12,,8.36,28.70,16.50,10.60,8.13,0.12
SW_cross_validated,,4.67,9.41,8.36,,14.17,5.02,1.46,0.10,-6.89
SW_15,,13.23,30.46,28.70,14.17,,-12.85,-13.68,-13.25,-21.00
SW_30,,8.03,17.94,16.50,5.02,-12.85,,-3.65,-4.65,-12.55
SW_60,,5.73,11.74,10.60,1.46,-13.68,-3.65,,-1.30,-8.56
SW_120,,4.66,9.12,8.13,0.10,-13.25,-4.65,-1.30,,-6.78
sFC,,-0.30,1.03,0.12,-6.89,-21.00,-12.55,-8.56,-6.78,
