,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.09,0.08,0.79,4.78,2.26,0.86,0.55,1.34
DCC_joint,,0.09,,0.23,0.97,6.27,2.95,1.14,0.76,1.74
DCC_bivariate_loop,,0.08,0.23,,0.82,5.88,2.68,0.94,0.56,1.92
SW_cross_validated,,0.79,0.97,0.82,,3.15,1.07,0.06,0.33,2.03
SW_15,,4.78,6.27,5.88,3.15,,2.82,3.97,4.35,8.56
SW_30,,2.26,2.95,2.68,1.07,2.82,,1.38,1.73,4.73
SW_60,,0.86,1.14,0.94,0.06,3.97,1.38,,0.33,2.53
SW_120,,0.55,0.76,0.56,0.33,4.35,1.73,0.33,,2.12
sFC,,1.34,1.74,1.92,2.03,8.56,4.73,2.53,2.12,
