,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,1.,0.0261,0.0000,0.0000,0.0004,0.0562,0.0024
DCC_joint,nan,-2.1514,-,1.,0.0471,0.0000,0.0000,0.0000,0.1199,0.0000
DCC_bivariate_loop,nan,-2.2534,-0.2232,-,0.0694,0.0000,0.0000,0.0000,0.1882,0.0000
SW_cross_validated,nan,-4.0654,-3.8014,-3.6273,-,0.0000,0.0000,0.2297,1.,0.0000
SW_15,nan,-15.3827,-35.3767,-35.2408,-21.6286,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-10.3612,-20.6622,-20.4726,-11.4461,18.1023,-,0.0000,0.0000,0.0000
SW_60,nan,-6.0141,-9.2111,-8.9916,-3.0852,30.1562,12.7985,-,0.0039,0.0000
SW_120,nan,-3.7221,-3.3806,-3.1764,0.8933,28.5229,15.3475,4.9287,-,0.0000
sFC,nan,5.1503,11.7278,11.8912,13.379,33.4503,25.1355,18.0992,13.7914,-
