,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.7750,0.8508,0.0513,0.0000,0.0001,0.0218,0.2050,0.0003
DCC_joint,,0.7750,,0.7693,0.0021,0.0000,0.0000,0.0000,0.0005,0.0000
DCC_bivariate_loop,,0.8508,0.7693,,0.0029,0.0000,0.0000,0.0000,0.0012,0.0000
SW_cross_validated,,0.0513,0.0021,0.0029,,0.0000,0.0039,0.9846,0.1525,0.0000
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,0.0001,0.0000,0.0000,0.0039,0.0000,,0.0000,0.0000,0.0000
SW_60,,0.0218,0.0000,0.0000,0.9846,0.0000,0.0000,,0.0176,0.0000
SW_120,,0.2050,0.0005,0.0012,0.1525,0.0000,0.0000,0.0176,,0.0000
sFC,,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
