,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.49,1.69,2.29,12.27,6.89,3.53,0.98,13.54
DCC_joint,,1.49,,0.27,1.13,14.54,7.11,2.72,-0.55,17.16
DCC_bivariate_loop,,1.69,0.27,,0.89,14.40,6.91,2.50,-0.79,17.05
SW_cross_validated,,2.29,1.13,0.89,,12.20,5.52,1.53,-1.55,14.12
SW_15,,12.27,14.54,14.40,12.20,,-6.56,-10.10,-13.69,0.65
SW_30,,6.89,7.11,6.91,5.52,-6.56,,-3.78,-7.03,7.95
SW_60,,3.53,2.72,2.50,1.53,-10.10,-3.78,,-3.01,11.67
SW_120,,0.98,-0.55,-0.79,-1.55,-13.69,-7.03,-3.01,,15.70
sFC,,13.54,17.16,17.05,14.12,0.65,7.95,11.67,15.70,
