,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.01,1.88,2.76,1.63,3.25,2.94,1.14,1.03
DCC_joint,,2.01,,0.22,1.41,0.96,2.44,1.77,6.90,7.72
DCC_bivariate_loop,,1.88,0.22,,1.60,0.68,2.61,1.95,6.40,7.07
SW_cross_validated,,2.76,1.41,1.60,,2.64,0.86,0.30,8.71,9.91
SW_15,,1.63,0.96,0.68,2.64,,4.19,3.13,7.42,9.28
SW_30,,3.25,2.44,2.61,0.86,4.19,,0.56,11.45,14.29
SW_60,,2.94,1.77,1.95,0.30,3.13,0.56,,9.53,11.10
SW_120,,1.14,6.90,6.40,8.71,7.42,11.45,9.53,,0.48
sFC,,1.03,7.72,7.07,9.91,9.28,14.29,11.10,0.48,
