,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.4880,0.3050,0.0106,0.0000,0.0000,0.0000,0.0037,0.0044
DCC_joint,,0.4880,,0.7461,0.0387,0.0000,0.0000,0.0001,0.0253,0.0017
DCC_bivariate_loop,,0.3050,0.7461,,0.0647,0.0000,0.0000,0.0002,0.0506,0.0008
SW_cross_validated,,0.0106,0.0387,0.0647,,0.0000,0.0002,0.2408,0.7335,0.0001
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,0.0000,0.0000,0.0000,0.0002,0.0000,,0.0000,0.0000,0.0000
SW_60,,0.0000,0.0001,0.0002,0.2408,0.0000,0.0000,,0.0442,0.0000
SW_120,,0.0037,0.0253,0.0506,0.7335,0.0000,0.0000,0.0442,,0.0000
sFC,,0.0044,0.0017,0.0008,0.0001,0.0000,0.0000,0.0000,0.0000,
