,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.9747e-04,2.6934e-04,5.2239e-01,2.6986e-06,2.0571e-01,1.4186e-01,4.7910e-01,8.5365e-22
DCC_joint,,2.9747e-04,,7.8306e-01,4.2734e-05,3.7316e-02,1.4023e-02,2.0937e-05,2.1458e-04,1.0750e-19
DCC_bivariate_loop,,2.6934e-04,7.8306e-01,,4.5265e-05,7.7448e-02,1.0289e-02,2.1478e-05,2.1797e-04,6.1525e-19
SW_cross_validated,,5.2239e-01,4.2734e-05,4.5265e-05,,4.2044e-07,6.7618e-02,3.1396e-01,1.1540e-01,4.3810e-23
SW_15,,2.6986e-06,3.7316e-02,7.7448e-02,4.2044e-07,,1.4655e-04,3.3494e-07,1.1034e-06,1.1585e-18
SW_30,,2.0571e-01,1.4023e-02,1.0289e-02,6.7618e-02,1.4655e-04,,1.7764e-02,3.6763e-01,1.0494e-19
SW_60,,1.4186e-01,2.0937e-05,2.1478e-05,3.1396e-01,3.3494e-07,1.7764e-02,,2.1917e-02,1.9750e-21
SW_120,,4.7910e-01,2.1458e-04,2.1797e-04,1.1540e-01,1.1034e-06,3.6763e-01,2.1917e-02,,4.4374e-25
sFC,,8.5365e-22,1.0750e-19,6.1525e-19,4.3810e-23,1.1585e-18,1.0494e-19,1.9750e-21,4.4374e-25,
