,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,nan,nan,nan,nan,nan,nan,nan,nan
DCC_joint,nan,nan,-,nan,nan,nan,nan,nan,nan,nan
DCC_bivariate_loop,nan,nan,nan,-,nan,nan,nan,nan,nan,nan
SW_cross_validated,nan,nan,nan,nan,-,nan,nan,nan,nan,nan
SW_15,nan,nan,nan,nan,nan,-,0.0000,0.0000,0.0370,0.0000
SW_30,nan,nan,nan,nan,nan,16.6143,-,0.0007,0.0000,0.0000
SW_60,nan,nan,nan,nan,nan,18.3312,5.1376,-,0.0000,0.0000
SW_120,nan,nan,nan,nan,nan,3.333,-11.2492,-13.8992,-,0.0018
sFC,nan,nan,nan,nan,nan,10.3417,-11.8937,-14.1777,4.6912,-
