,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.8637,0.3183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0678
DCC_joint,,0.8637,,0.2907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0226
DCC_bivariate_loop,,0.3183,0.2907,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0039
SW_cross_validated,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0009,0.6941,0.0000
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
SW_60,,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,,0.0064,0.0000
SW_120,,0.0000,0.0000,0.0000,0.6941,0.0000,0.0000,0.0064,,0.0000
sFC,,0.0678,0.0226,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,
