,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-0.35,-0.20,1.91,14.57,8.78,2.60,1.30,27.41
DCC_joint,,-0.35,,0.15,2.55,16.46,10.55,3.41,1.92,34.14
DCC_bivariate_loop,,-0.20,0.15,,2.34,16.04,10.12,3.16,1.71,32.65
SW_cross_validated,,1.91,2.55,2.34,,14.47,8.01,0.69,-0.87,32.29
SW_15,,14.57,16.46,16.04,14.47,,-8.66,-14.79,-16.25,8.04
SW_30,,8.78,10.55,10.12,8.01,-8.66,,-8.06,-9.89,27.78
SW_60,,2.60,3.41,3.16,0.69,-14.79,-8.06,,-1.71,37.09
SW_120,,1.30,1.92,1.71,-0.87,-16.25,-9.89,-1.71,,40.10
sFC,,27.41,34.14,32.65,32.29,8.04,27.78,37.09,40.10,
