,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,1.,1.,0.0000,0.0000,0.6483,1.,0.0000
DCC_joint,nan,0.3452,-,1.,0.7262,0.0000,0.0000,0.1122,1.,0.0000
DCC_bivariate_loop,nan,0.2017,-0.1542,-,1.,0.0000,0.0000,0.1952,1.,0.0000
SW_cross_validated,nan,-1.9083,-2.5483,-2.3376,-,0.0000,0.0000,1.,1.,0.0000
SW_15,nan,-14.5742,-16.4576,-16.0362,-14.4723,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-8.7775,-10.554,-10.1179,-8.0071,8.6603,-,0.0000,0.0000,0.0000
SW_60,nan,-2.6024,-3.4107,-3.1597,-0.6879,14.7938,8.0561,-,1.,0.0000
SW_120,nan,-1.3,-1.9228,-1.7057,0.8663,16.2476,9.8927,1.7136,-,0.0000
sFC,nan,-27.4052,-34.1411,-32.6517,-32.2868,-8.0403,-27.7811,-37.0942,-40.1016,-
