,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0005,0.003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
DCC_joint,nan,5.8757,-,1.,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,5.0544,-0.8373,-,0.0000,0.0000,0.0000,0.0000,0.0000,1.
SW_cross_validated,nan,-11.8602,-17.3577,-16.6116,-,0.0000,0.0295,1.,1.,0.0000
SW_15,nan,-20.5054,-23.6398,-23.2357,-12.6516,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-13.9607,-18.2032,-17.6444,-4.0118,8.7939,-,0.0115,0.0694,0.0000
SW_60,nan,-10.2372,-15.1094,-14.4574,0.6819,12.8017,4.436,-,1.,0.0000
SW_120,nan,-10.9426,-15.6952,-15.0612,-0.1942,12.0908,3.627,-0.8212,-,0.0000
sFC,nan,6.4571,-0.1217,0.8546,18.4114,24.066,18.8411,15.8572,16.4231,-
