,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.013,0.004,0.017,0.016,0.022,0.012,0.110,,0.008,0.003,0.007,0.021
DCC_joint,0.012,0.004,0.011,0.011,0.017,0.015,0.007,,0.006,0.006,0.010,0.010
DCC_bivariate_loop,0.014,0.006,0.011,0.011,0.017,0.015,0.007,,0.006,0.005,0.011,0.010
SW_cross_validated,0.016,0.007,0.018,0.014,0.015,0.016,0.013,,0.009,0.010,0.012,0.013
SW_15,0.010,0.008,0.010,0.018,0.014,0.016,0.012,0.015,0.008,0.013,0.009,0.012
SW_30,0.009,0.007,0.017,0.014,0.014,0.014,0.015,0.016,0.009,0.010,0.009,0.012
SW_60,0.010,0.007,0.016,0.009,0.015,0.013,0.011,0.010,0.009,0.009,0.007,0.011
SW_120,0.013,0.011,0.015,0.010,0.010,0.003,0.006,0.003,0.010,0.006,0.009,0.009
sFC,0.011,0.004,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.003
