,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0409,0.0052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0569
DCC_joint,nan,-3.8642,-,1.,0.0130,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,-4.7932,-1.1361,-,0.1683,0.0000,0.0000,0.0000,0.0001,1.
SW_cross_validated,nan,-7.637,-4.3785,-3.2271,-,0.0000,0.0000,0.0000,0.4358,0.0051
SW_15,nan,-39.4508,-36.5426,-33.2564,-26.1279,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-27.9783,-24.5113,-21.6716,-15.4092,16.1093,-,0.0000,0.0000,0.0000
SW_60,nan,-18.0083,-14.3229,-12.287,-7.4032,24.6377,10.4602,-,0.0037,0.0000
SW_120,nan,-11.6165,-8.1063,-6.641,-2.7895,26.2604,14.1004,4.9548,-,0.0000
sFC,nan,-3.7165,0.3266,1.493,4.8051,38.9363,26.456,15.4814,8.7689,-
