,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.0000,0.0000,0.5143,0.0004,0.6784,0.0173,0.0000,0.0000
DCC_joint,,0.0000,,0.8684,0.0000,0.0110,0.0000,0.0008,0.0000,0.0000
DCC_bivariate_loop,,0.0000,0.8684,,0.0000,0.0062,0.0000,0.0005,0.0000,0.0000
SW_cross_validated,,0.5143,0.0000,0.0000,,0.0007,0.7481,0.0471,0.0000,0.0000
SW_15,,0.0004,0.0110,0.0062,0.0007,,0.0001,0.0710,0.0000,0.0000
SW_30,,0.6784,0.0000,0.0000,0.7481,0.0001,,0.0139,0.0000,0.0000
SW_60,,0.0173,0.0008,0.0005,0.0471,0.0710,0.0139,,0.0000,0.0000
SW_120,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.7922
sFC,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7922,
