,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,6.87,6.80,3.43,8.42,4.56,2.05,4.40,43.05
DCC_joint,,6.87,,0.26,3.93,1.31,3.00,5.58,3.02,32.59
DCC_bivariate_loop,,6.80,0.26,,4.00,0.97,3.12,5.55,3.13,29.47
SW_cross_validated,,3.43,3.93,4.00,,5.50,1.13,1.65,1.03,44.19
SW_15,,8.42,1.31,0.97,5.50,,4.57,7.29,4.56,32.88
SW_30,,4.56,3.00,3.12,1.13,4.57,,2.89,0.08,45.16
SW_60,,2.05,5.58,5.55,1.65,7.29,2.89,,2.73,50.81
SW_120,,4.40,3.02,3.13,1.03,4.56,0.08,2.73,,43.26
sFC,,43.05,32.59,29.47,44.19,32.88,45.16,50.81,43.26,
