,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.98,3.35,0.15,2.50,0.83,0.21,1.31,0.76
DCC_joint,,2.98,,0.01,1.83,3.93,0.94,1.63,3.47,2.51
DCC_bivariate_loop,,3.35,0.01,,1.92,4.05,0.97,1.70,3.71,2.83
SW_cross_validated,,0.15,1.83,1.92,,2.21,0.57,0.06,1.05,0.26
SW_15,,2.50,3.93,4.05,2.21,,2.55,2.17,1.54,2.84
SW_30,,0.83,0.94,0.97,0.57,2.55,,0.50,1.55,0.49
SW_60,,0.21,1.63,1.70,0.06,2.17,0.50,,1.04,0.16
SW_120,,1.31,3.47,3.71,1.05,1.54,1.55,1.04,,1.86
sFC,,0.76,2.51,2.83,0.26,2.84,0.49,0.16,1.86,
