,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,1.,0.0000,0.0000,0.0000,0.0000,0.0000,0.1023
DCC_joint,nan,1.7624,-,1.,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,-0.4117,-1.9045,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.1137
SW_cross_validated,nan,-22.2125,-21.8926,-16.9738,-,0.0000,0.0000,0.0020,1.,0.0000
SW_15,nan,-57.992,-54.9409,-47.4676,-49.2157,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-30.7568,-30.5556,-26.6718,-17.7428,16.0017,-,0.0000,0.0000,0.0000
SW_60,nan,-18.7766,-19.2853,-16.4494,-5.2341,24.6275,8.612,-,0.0019,0.0000
SW_120,nan,-17.6607,-18.0675,-14.3763,0.8915,40.211,16.2462,5.2712,-,0.0000
sFC,nan,3.4524,1.7664,3.4048,21.0978,50.8381,29.8234,19.5156,18.0913,-
