,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.2210,0.1106,0.0000,0.0000,0.0000,0.0062,0.0207,0.0000
DCC_joint,nan,-3.1029,-,1.,0.0004,0.0000,0.0000,0.7391,1.,0.0000
DCC_bivariate_loop,nan,-3.4171,-0.4977,-,0.0010,0.0000,0.0000,1.,1.,0.0000
SW_cross_validated,nan,-7.5657,-5.9748,-5.563,-,0.0000,1.,0.1219,0.0075,0.0000
SW_15,nan,-14.9993,-14.147,-13.6765,-7.176,-,0.0001,0.0000,0.0000,0.0000
SW_30,nan,-9.5731,-8.1559,-7.6448,-1.1501,6.4999,-,0.0038,0.0001,0.0000
SW_60,nan,-4.7153,-2.5399,-2.1054,3.3732,10.955,4.941,-,1.,0.0000
SW_120,nan,-4.1697,-1.5909,-1.0943,4.6308,12.6285,6.5174,1.1264,-,0.0000
sFC,nan,-44.3434,-60.0242,-54.5755,-22.3085,-10.0214,-23.6581,-33.8251,-45.947,-
