,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.045,0.058,0.166,0.217,0.253,,,0.181,0.195,0.111,,0.153
DCC_bivariate_loop,0.054,0.065,0.161,0.206,0.236,,,0.178,0.197,0.117,,0.152
SW_cross_validated,0.145,0.166,0.178,0.239,0.309,,,0.236,0.213,0.190,,0.210
SW_15,0.151,0.176,0.171,0.174,0.183,,,0.171,0.194,0.173,,0.174
SW_30,0.134,0.145,0.144,0.156,0.188,,,0.170,0.174,0.162,,0.159
SW_60,0.124,0.140,0.138,0.216,0.331,,,0.221,0.185,0.171,,0.191
SW_120,0.121,0.143,0.206,0.392,0.405,,,0.219,0.222,0.173,,0.235
sFC,0.081,0.076,0.369,0.369,0.367,,,0.209,0.420,0.137,,0.254
