,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,69,53,99,73,37,67,99,93
1,77,99,79,63,21,97,99,87
2,43,55,55,51,33,75,89,99
3,81,59,61,73,31,97,63,77
4,85,87,57,73,57,37,45,99
5,81,41,59,93,43,57,91,51
6,99,53,55,37,43,45,49,45
7,65,99,51,67,29,99,43,99
8,77,99,29,55,99,99,79,99
9,41,57,89,49,31,55,35,35
10,47,45,93,61,93,27,37,87
11,97,99,71,45,55,73,71,75
12,69,81,59,65,35,55,67,91
13,83,75,49,41,55,45,61,97
14,61,75,99,47,49,67,87,75
15,83,31,99,43,31,49,93,99
16,33,99,99,61,43,99,61,63
17,65,51,51,69,37,99,47,93
18,47,59,99,69,59,99,41,79
19,45,89,69,45,87,93,63,73
20,81,63,37,65,99,51,99,99
21,89,77,89,41,65,65,59,91
22,79,41,99,63,51,35,43,51
23,35,97,75,77,37,71,99,81
24,65,55,37,67,39,51,63,81
25,53,43,71,41,99,99,71,75
26,59,65,47,61,61,49,75,57
27,59,55,35,63,33,59,47,83
28,67,37,63,61,63,99,61,63
29,49,89,99,35,39,25,47,59
30,99,73,67,41,51,35,57,41
31,89,41,37,81,39,71,77,71
32,79,99,53,57,57,53,67,49
33,75,99,89,43,59,57,83,47
34,69,87,73,43,53,39,91,97
35,99,81,69,43,35,71,87,99
36,53,81,65,91,47,61,93,99
37,53,33,89,79,33,99,35,47
38,61,97,27,57,45,43,99,87
39,99,81,95,37,35,99,91,45
40,89,65,41,77,31,53,99,95
41,77,35,53,85,53,33,99,47
42,77,91,99,71,29,99,51,99
43,97,27,67,59,29,89,75,55
44,99,99,63,89,27,35,77,99
45,43,87,51,35,53,49,27,97
46,55,83,37,53,91,73,73,23
47,85,61,89,31,77,67,55,59
48,99,93,25,47,39,87,91,71
49,95,99,67,45,61,67,93,97
50,93,93,97,63,43,99,99,51
51,35,81,65,49,65,99,37,55
52,57,49,53,61,75,77,43,67
53,59,41,33,69,45,61,55,69
54,43,77,81,71,37,27,89,91
55,69,99,71,33,63,97,37,99
56,93,39,65,67,77,47,99,59
57,67,81,59,73,39,95,55,89
58,49,79,53,51,27,61,75,71
59,57,87,67,73,33,37,81,71
60,73,97,47,81,39,93,37,91
61,77,99,83,61,63,33,57,41
62,73,95,49,49,27,43,85,65
63,75,95,49,57,91,95,43,53
64,73,63,61,49,31,61,77,59
65,97,53,61,29,49,91,45,47
66,63,99,99,27,35,69,87,77
67,83,99,93,45,97,47,97,67
68,85,51,57,49,47,99,43,99
69,83,87,99,33,79,53,99,93
70,47,79,95,33,39,93,83,81
71,99,45,27,59,33,95,75,99
72,99,87,95,49,59,47,95,61
73,63,59,69,57,53,79,91,99
74,35,73,83,47,45,87,95,75
75,89,61,43,31,55,85,41,69
76,65,35,67,89,65,59,43,65
77,53,63,93,49,21,35,97,85
78,99,75,99,71,95,67,53,39
79,51,65,83,75,45,99,93,99
80,85,95,51,99,87,45,73,51
81,27,83,57,77,35,99,49,89
82,79,57,51,81,29,43,97,79
83,99,73,69,67,41,33,51,97
84,85,75,65,55,25,53,89,77
85,99,83,33,69,61,75,99,51
86,73,43,95,89,39,49,39,99
87,61,87,73,55,35,75,61,75
88,91,99,99,53,89,97,61,77
89,99,97,93,45,99,85,69,67
90,97,81,95,35,45,93,69,99
91,63,55,51,63,65,47,53,81
92,65,41,43,39,71,89,45,45
93,31,81,31,39,21,43,99,55
94,81,49,99,69,33,47,99,87
95,99,85,77,65,31,89,91,83
96,55,91,79,51,49,99,99,35
97,53,51,83,55,31,67,93,41
98,69,43,81,83,35,25,55,95
99,81,53,71,59,81,65,97,95
100,43,77,45,43,53,51,99,35
101,85,27,49,55,63,53,81,99
102,69,99,81,33,39,99,99,97
103,57,91,53,21,41,95,65,99
104,97,35,59,93,53,53,53,71
105,45,85,99,67,83,87,97,51
106,95,97,65,45,99,31,51,43
107,99,93,53,39,65,53,93,49
108,81,99,33,25,81,79,41,91
109,99,69,45,37,37,89,99,97
110,97,83,99,77,59,75,89,91
111,31,65,41,67,77,71,69,93
112,81,77,77,41,49,65,39,45
113,71,75,83,63,51,31,61,43
114,91,99,99,57,57,61,73,29
115,57,31,73,37,41,57,71,53
116,35,43,99,39,49,45,77,87
117,97,99,75,57,99,69,81,49
118,99,89,45,41,29,99,43,83
119,77,83,61,37,41,79,39,99
120,71,99,91,55,43,41,49,99
121,97,99,55,55,33,87,91,45
122,83,99,43,43,89,75,85,91
123,95,79,93,79,47,39,93,71
124,49,75,83,43,43,95,43,99
125,59,39,83,57,65,39,37,93
126,49,83,61,57,35,73,97,55
127,93,99,83,81,33,49,63,59
128,65,51,33,59,43,69,93,71
129,99,41,97,61,77,99,65,75
130,87,99,45,97,35,97,53,85
131,55,93,55,31,59,61,47,37
132,99,89,79,71,41,47,77,85
133,81,95,99,71,89,99,99,97
134,75,71,61,67,51,99,81,43
135,73,59,89,43,49,49,79,91
136,99,89,61,59,77,71,97,71
137,95,79,63,57,45,99,49,45
138,99,53,71,73,41,99,81,41
139,75,75,81,99,45,95,87,65
140,97,89,59,39,67,95,51,67
141,41,57,77,51,29,87,43,99
142,57,63,83,47,35,99,99,27
143,81,83,57,43,29,99,55,77
144,99,73,41,47,33,31,25,75
145,99,95,45,31,67,99,61,99
146,85,99,99,41,53,41,85,79
147,65,79,81,73,45,37,67,87
148,59,87,57,25,47,95,67,99
149,61,79,29,55,55,81,29,81
150,99,83,61,31,51,95,47,37
151,69,93,95,51,41,51,57,81
152,99,99,93,77,39,97,97,99
153,65,83,79,47,51,59,51,41
154,75,49,29,61,43,75,59,77
155,87,89,87,43,45,99,27,49
156,91,47,57,47,77,25,43,53
157,73,99,45,57,79,33,99,91
158,99,47,27,65,69,91,67,43
159,67,73,89,73,37,39,79,51
160,99,53,99,45,45,79,21,99
161,79,99,79,47,65,69,31,37
162,67,63,57,43,51,99,87,51
163,29,99,65,43,51,95,95,97
164,99,35,99,57,39,53,89,99
165,55,93,71,47,61,99,51,73
166,69,93,39,65,53,87,35,95
167,75,81,99,65,79,53,51,93
168,95,81,45,93,39,41,49,55
169,53,31,55,63,49,55,97,79
170,71,71,27,27,51,99,57,81
171,77,99,73,47,53,99,45,97
172,51,93,99,47,93,97,75,83
173,87,71,37,63,49,47,57,67
174,43,95,53,55,99,99,53,91
175,77,43,67,63,41,45,51,73
176,67,99,97,59,45,79,83,73
177,99,79,75,33,39,55,97,37
178,63,85,47,51,95,59,99,61
179,91,85,89,59,65,93,81,99
180,75,89,93,57,63,49,53,83
181,57,53,95,47,99,95,63,99
182,99,99,97,53,37,83,37,87
183,51,75,53,39,51,41,39,59
184,99,75,99,63,97,41,55,45
185,79,45,57,57,35,99,69,99
186,99,51,87,51,63,91,41,99
187,83,53,97,33,45,99,59,57
188,75,75,63,43,99,49,69,73
189,63,97,99,59,83,99,97,69
190,85,73,33,91,29,61,47,39
191,63,83,79,67,71,89,93,95
192,91,63,47,79,45,53,71,67
193,95,99,31,45,99,95,99,45
194,99,97,47,57,75,93,91,49
195,95,51,51,35,33,71,53,77
196,81,51,35,91,85,81,91,97
197,95,63,63,41,65,77,53,57
198,77,67,99,33,37,81,45,65
199,57,83,69,47,33,99,61,59
