,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005
DCC_joint,nan,7.8151,-,0.1565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0228
DCC_bivariate_loop,nan,5.6862,-2.8683,-,0.0000,0.0000,0.0000,0.0000,0.0000,1.
SW_cross_validated,nan,-12.2463,-24.84,-22.1641,-,0.0000,0.0000,1.,0.0000,0.0000
SW_15,nan,-40.457,-70.7866,-66.2812,-30.8841,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-21.3721,-42.7098,-38.8138,-8.5616,29.7871,-,0.0000,0.0000,0.0000
SW_60,nan,-11.4931,-26.4995,-23.2889,2.1885,39.716,12.9915,-,0.0243,0.0000
SW_120,nan,-7.6606,-18.7048,-16.1503,4.987,36.2779,14.3444,3.4266,-,0.0000
sFC,nan,4.3803,-3.4443,-1.0117,18.718,53.6998,31.0937,18.8357,13.4615,-
