,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,3.35,20.82,26.94,20.22,22.23,16.90,7.76
DCC_bivariate_loop,,,3.35,,18.70,22.58,16.76,18.95,14.80,5.79
SW_cross_validated,,,20.82,18.70,,-4.24,-6.60,-4.37,-3.45,-10.81
SW_15,,,26.94,22.58,-4.24,,-3.54,-0.50,0.06,-9.22
SW_30,,,20.22,16.76,-6.60,-3.54,,2.72,2.63,-6.17
SW_60,,,22.23,18.95,-4.37,-0.50,2.72,,0.43,-8.23
SW_120,,,16.90,14.80,-3.45,0.06,2.63,0.43,,-7.42
sFC,,,7.76,5.79,-10.81,-9.22,-6.17,-8.23,-7.42,
