,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-12.50,-16.01,-2.79,-15.43,-25.90,7.42,4.49,1.23
DCC_joint,,-12.50,,-3.65,4.47,-4.86,-14.99,20.32,16.23,16.36
DCC_bivariate_loop,,-16.01,-3.65,,6.66,-1.70,-11.65,23.83,19.53,20.41
SW_cross_validated,,-2.79,4.47,6.66,,-7.41,-14.10,6.85,5.36,3.55
SW_15,,-15.43,-4.86,-1.70,-7.41,,-8.88,21.86,18.58,18.45
SW_30,,-25.90,-14.99,-11.65,-14.10,-8.88,,32.81,28.70,30.43
SW_60,,7.42,20.32,23.83,6.85,21.86,32.81,,-2.26,-8.17
SW_120,,4.49,16.23,19.53,5.36,18.58,28.70,-2.26,,-4.28
sFC,,1.23,16.36,20.41,3.55,18.45,30.43,-8.17,-4.28,
