,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.75,0.89,2.21,5.78,3.83,2.64,1.84,0.69
DCC_joint,,0.75,,0.22,1.50,5.15,3.15,1.93,1.22,0.05
DCC_bivariate_loop,,0.89,0.22,,1.14,4.39,2.61,1.51,0.94,0.26
SW_cross_validated,,2.21,1.50,1.14,,3.57,1.60,0.38,0.07,1.53
SW_15,,5.78,5.15,4.39,3.57,,2.01,3.28,3.12,5.13
SW_30,,3.83,3.15,2.61,1.60,2.01,,1.25,1.44,3.16
SW_60,,2.64,1.93,1.51,0.38,3.28,1.25,,0.40,1.95
SW_120,,1.84,1.22,0.94,0.07,3.12,1.44,0.40,,1.25
sFC,,0.69,0.05,0.26,1.53,5.13,3.16,1.95,1.25,
