,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,5.0318e-141,1.1818e-51,3.2514e-83,2.7990e-128,5.6514e-68,1.2445e-195,4.8230e-246,9.0158e-226
DCC_joint,,5.0318e-141,,1.8051e-101,5.1073e-39,5.5048e-02,1.7769e-76,9.8511e-91,1.9001e-207,1.0800e-168
DCC_bivariate_loop,,1.1818e-51,1.8051e-101,,3.5965e-23,3.6118e-82,5.5208e-07,1.6238e-188,6.5730e-259,2.2739e-239
SW_cross_validated,,3.2514e-83,5.1073e-39,3.5965e-23,,6.0053e-28,1.0024e-08,2.5842e-126,2.0217e-208,1.7881e-175
SW_15,,2.7990e-128,5.5048e-02,3.6118e-82,6.0053e-28,,3.2178e-59,3.3351e-83,1.6788e-189,1.3159e-146
SW_30,,5.6514e-68,1.7769e-76,5.5208e-07,1.0024e-08,3.2178e-59,,4.0920e-168,3.6478e-244,2.0382e-220
SW_60,,1.2445e-195,9.8511e-91,1.6238e-188,2.5842e-126,3.3351e-83,4.0920e-168,,2.7128e-147,1.4009e-65
SW_120,,4.8230e-246,1.9001e-207,6.5730e-259,2.0217e-208,1.6788e-189,3.6478e-244,2.7128e-147,,1.2024e-116
sFC,,9.0158e-226,1.0800e-168,2.2739e-239,1.7881e-175,1.3159e-146,2.0382e-220,1.4009e-65,1.2024e-116,
