,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,-6.17,-4.42,-16.56,-20.21,26.38,22.96,26.92
DCC_bivariate_loop,,,-6.17,,-1.03,-11.61,-15.07,34.11,30.20,36.07
SW_cross_validated,,,-4.42,-1.03,,-6.28,-8.14,17.70,16.41,16.66
SW_15,,,-16.56,-11.61,-6.28,,-2.46,39.03,36.11,39.82
SW_30,,,-20.21,-15.07,-8.14,-2.46,,44.59,41.22,46.26
SW_60,,,26.38,34.11,17.70,39.03,44.59,,-2.51,-5.26
SW_120,,,22.96,30.20,16.41,36.11,41.22,-2.51,,-1.49
sFC,,,26.92,36.07,16.66,39.82,46.26,-5.26,-1.49,
