,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.9594e-205,6.8753e-56,2.4855e-75,1.2045e-166,1.3433e-81,2.3688e-62,3.8262e-105,0.0000e+00
DCC_joint,,1.9594e-205,,3.0689e-172,1.2361e-125,1.5539e-13,5.1963e-124,2.6346e-165,1.2586e-123,4.5109e-312
DCC_bivariate_loop,,6.8753e-56,3.0689e-172,,3.5029e-13,6.4891e-124,2.5084e-17,5.9113e-02,8.1717e-36,0.0000e+00
SW_cross_validated,,2.4855e-75,1.2361e-125,3.5029e-13,,6.8509e-83,3.0041e-01,9.8197e-09,9.5069e-06,0.0000e+00
SW_15,,1.2045e-166,1.5539e-13,6.4891e-124,6.8509e-83,,2.9239e-80,4.4866e-117,1.1483e-74,1.2240e-292
SW_30,,1.3433e-81,5.1963e-124,2.5084e-17,3.0041e-01,2.9239e-80,,4.1271e-12,6.7122e-04,0.0000e+00
SW_60,,2.3688e-62,2.6346e-165,5.9113e-02,9.8197e-09,4.4866e-117,4.1271e-12,,5.6116e-28,0.0000e+00
SW_120,,3.8262e-105,1.2586e-123,8.1717e-36,9.5069e-06,1.1483e-74,6.7122e-04,5.6116e-28,,0.0000e+00
sFC,,0.0000e+00,4.5109e-312,0.0000e+00,0.0000e+00,1.2240e-292,0.0000e+00,0.0000e+00,0.0000e+00,
