,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0035,0.0000
DCC_joint,nan,8.6097,-,0.0000,0.0015,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,nan,13.3618,6.3521,-,1.,1.,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,nan,9.8951,4.1508,0.2792,-,1.,0.0000,0.0000,0.0000,0.0000
SW_15,nan,12.5423,6.4505,1.7787,1.0347,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,19.7261,15.0512,10.0966,6.725,6.5844,-,0.0000,0.0000,0.0000
SW_60,nan,-6.7217,-23.0015,-30.8114,-17.3936,-23.0984,-34.0622,-,0.0006,1.
SW_120,nan,-3.9347,-18.1676,-25.4524,-14.9413,-19.8522,-30.1358,4.3436,-,0.0001
sFC,nan,-6.9023,-26.7229,-36.2837,-17.9883,-24.5954,-37.0051,0.7243,-4.8021,-
