,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,7.2010e-60,1.2454e-54,1.4433e-12,1.4922e-105,6.6599e-32,2.9906e-10,1.5383e-139,0.0000e+00
DCC_joint,,7.2010e-60,,3.3859e-02,8.5327e-30,1.6696e-32,7.9452e-13,1.9358e-38,1.3913e-76,0.0000e+00
DCC_bivariate_loop,,1.2454e-54,3.3859e-02,,4.3703e-24,8.2562e-43,3.9360e-08,2.1136e-32,1.4951e-88,0.0000e+00
SW_cross_validated,,1.4433e-12,8.5327e-30,4.3703e-24,,3.4367e-79,1.1950e-07,2.0174e-01,5.4124e-118,0.0000e+00
SW_15,,1.4922e-105,1.6696e-32,8.2562e-43,3.4367e-79,,4.8820e-62,2.3956e-90,1.8421e-21,4.0316e-321
SW_30,,6.6599e-32,7.9452e-13,3.9360e-08,1.1950e-07,4.8820e-62,,5.8515e-12,6.8194e-105,0.0000e+00
SW_60,,2.9906e-10,1.9358e-38,2.1136e-32,2.0174e-01,2.3956e-90,5.8515e-12,,1.7349e-129,0.0000e+00
SW_120,,1.5383e-139,1.3913e-76,1.4951e-88,5.4124e-118,1.8421e-21,6.8194e-105,1.7349e-129,,1.7870e-294
sFC,,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.0316e-321,0.0000e+00,0.0000e+00,1.7870e-294,
