,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,-0.72,2.58,13.38,0.57,4.35,23.74,229.41
DCC_bivariate_loop,,,-0.72,,3.19,14.04,1.21,5.12,24.58,238.85
SW_cross_validated,,,2.58,3.19,,9.69,-1.89,1.02,18.29,157.87
SW_15,,,13.38,14.04,9.69,,-11.99,-9.87,7.51,126.46
SW_30,,,0.57,1.21,-1.89,-11.99,,3.30,21.34,183.40
SW_60,,,4.35,5.12,1.02,-9.87,3.30,,19.70,208.70
SW_120,,,23.74,24.58,18.29,7.51,21.34,19.70,,129.06
sFC,,,229.41,238.85,157.87,126.46,183.40,208.70,129.06,
