,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-9.96,-19.57,19.98,58.89,23.21,28.59,21.86,-5.87
DCC_joint,,-9.96,,-12.62,30.28,73.10,34.12,44.82,32.97,6.68
DCC_bivariate_loop,,-19.57,-12.62,,36.72,75.45,40.24,49.54,39.25,19.09
SW_cross_validated,,19.98,30.28,36.72,,34.81,2.55,2.98,0.97,-28.25
SW_15,,58.89,73.10,75.45,34.81,,-32.74,-38.16,-34.89,-73.91
SW_30,,23.21,34.12,40.24,2.55,-32.74,,-0.00,-1.64,-32.37
SW_60,,28.59,44.82,49.54,2.98,-38.16,-0.00,,-1.94,-44.99
SW_120,,21.86,32.97,39.25,0.97,-34.89,-1.64,-1.94,,-31.15
sFC,,-5.87,6.68,19.09,-28.25,-73.91,-32.37,-44.99,-31.15,
