,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,1.261,2.173,0.672,0.303,0.226,1.241,0.333,2.030
1,1.703,2.030,0.536,0.242,0.257,0.808,0.401,1.724
2,1.862,2.181,0.711,0.261,0.210,0.954,0.376,2.049
3,1.337,2.376,0.422,0.276,0.254,0.314,0.381,1.310
4,1.449,2.350,0.561,0.226,0.269,2.019,0.282,1.529
5,1.022,2.529,0.556,0.255,0.210,0.178,0.250,0.740
6,1.518,2.090,0.433,0.224,0.164,0.651,0.370,2.359
7,1.608,2.565,0.438,0.295,0.176,1.435,0.346,2.016
8,1.761,1.563,0.518,0.259,0.250,1.502,0.393,1.686
9,1.577,1.148,0.503,0.346,0.235,1.495,0.358,1.729
10,1.348,2.767,0.605,0.299,0.200,0.792,0.401,1.525
11,0.698,2.543,0.584,0.277,0.231,0.453,0.260,1.894
12,0.854,2.625,0.534,0.260,0.239,1.071,0.382,1.614
13,1.841,2.415,0.517,0.204,0.219,1.578,0.359,2.197
14,1.375,2.227,0.455,0.281,0.261,0.269,0.305,1.839
15,1.439,2.559,0.668,0.280,0.225,1.039,0.318,1.456
16,1.259,2.194,0.753,0.213,0.161,0.992,0.323,1.518
17,0.992,2.436,0.647,0.211,0.314,0.313,0.358,1.981
18,1.233,2.080,0.453,0.272,0.244,1.652,0.405,1.667
19,0.888,2.449,0.380,0.285,0.232,1.237,0.297,1.408
20,1.471,2.381,0.723,0.291,0.185,0.938,0.309,1.834
21,1.187,2.329,0.637,0.286,0.328,0.259,0.380,1.688
22,1.585,2.574,0.653,0.271,0.253,0.236,0.364,1.761
23,1.339,2.822,0.510,0.418,0.183,0.969,0.430,1.558
24,1.630,2.622,0.718,0.330,0.172,0.666,0.327,1.472
25,1.395,2.719,0.593,0.283,0.253,1.302,0.354,1.785
26,0.726,2.382,0.432,0.420,0.200,1.600,0.372,1.840
27,1.552,2.313,0.538,0.304,0.260,1.150,0.401,0.880
28,1.397,2.467,0.352,0.382,0.233,1.537,0.330,1.140
29,1.386,2.428,0.737,0.442,0.250,0.140,0.400,1.856
30,1.797,1.793,0.612,0.371,0.229,1.212,0.504,1.712
31,1.254,2.371,0.462,0.243,0.220,0.373,0.448,1.419
32,1.741,2.482,0.752,0.323,0.245,1.282,0.406,1.590
33,1.554,2.068,0.492,0.244,0.163,1.495,0.391,1.302
34,0.838,2.792,0.442,0.194,0.330,0.173,0.376,1.333
35,1.301,2.703,0.491,0.192,0.336,0.233,0.413,1.122
36,1.248,1.856,0.511,0.300,0.239,1.408,0.348,1.779
37,1.067,1.938,0.659,0.319,0.206,1.268,0.265,1.593
38,1.836,2.502,0.714,0.287,0.238,0.629,0.371,1.455
39,1.895,1.576,0.427,0.319,0.280,0.288,0.368,1.275
40,0.848,2.675,0.309,0.335,0.161,1.042,0.381,1.666
41,1.699,2.666,0.546,0.354,0.231,1.173,0.401,0.882
42,0.651,1.843,0.577,0.249,0.237,1.364,0.357,1.983
43,1.568,2.387,0.727,0.271,0.233,0.697,0.573,2.004
44,1.446,2.584,0.495,0.204,0.171,0.700,0.316,2.116
45,1.653,1.847,0.478,0.340,0.252,0.791,0.391,1.518
46,1.052,2.631,0.744,0.343,0.226,0.423,0.398,1.635
47,0.703,2.368,0.538,0.237,0.233,1.013,0.353,1.418
48,1.311,2.633,0.465,0.212,0.252,0.290,0.397,1.433
49,1.154,2.345,0.694,0.267,0.200,0.266,0.430,1.498
50,1.212,2.137,0.260,0.299,0.254,0.974,0.430,1.870
51,1.395,2.125,0.722,0.280,0.239,2.042,0.393,1.411
52,1.248,2.412,0.583,0.270,0.355,0.888,0.380,1.387
53,0.791,2.186,0.511,0.260,0.219,0.495,0.330,1.148
54,1.311,1.318,0.679,0.296,0.262,0.287,0.386,0.500
55,1.230,1.986,0.508,0.258,0.235,0.434,0.377,1.427
56,1.241,2.165,0.532,0.265,0.191,1.298,0.388,1.813
57,1.464,2.680,0.401,0.315,0.237,1.628,0.441,1.272
58,1.111,2.607,0.483,0.256,0.138,1.368,0.382,1.368
59,1.228,2.657,0.581,0.232,0.360,1.037,0.419,1.135
60,1.166,2.419,0.672,0.352,0.213,0.637,0.409,2.003
61,1.428,2.471,0.625,0.225,0.321,1.078,0.373,1.637
62,1.520,2.944,0.533,0.282,0.342,0.209,0.433,1.669
63,1.757,2.406,0.734,0.287,0.250,0.815,0.499,1.595
64,1.495,2.597,0.539,0.361,0.260,0.953,0.366,1.905
65,1.494,1.690,0.518,0.261,0.197,1.523,0.417,2.047
66,1.221,2.637,0.638,0.280,0.270,0.303,0.503,2.097
67,1.062,2.786,0.693,0.219,0.192,0.217,0.394,0.359
68,1.084,2.504,0.502,0.306,0.297,1.365,0.428,0.859
69,2.145,2.689,0.645,0.167,0.189,0.246,0.336,2.001
70,1.727,2.254,0.559,0.142,0.259,1.032,0.342,1.113
71,1.277,2.584,0.362,0.376,0.256,1.229,0.360,1.410
72,1.255,1.539,0.702,0.297,0.249,1.559,0.436,2.111
73,1.366,1.253,0.377,0.232,0.266,1.130,0.385,1.612
74,0.955,2.525,0.550,0.326,0.237,1.327,0.272,1.647
75,1.551,1.441,0.335,0.185,0.234,1.222,0.338,1.446
76,1.340,2.206,0.506,0.331,0.285,1.242,0.341,1.112
77,2.216,2.549,0.596,0.341,0.201,1.599,0.385,1.160
78,1.484,2.694,0.691,0.308,0.274,0.155,0.373,2.137
79,1.326,2.518,0.415,0.372,0.258,1.157,0.436,1.491
80,1.168,2.491,0.635,0.281,0.255,1.166,0.401,1.933
81,1.253,1.831,0.442,0.296,0.209,1.160,0.352,1.349
82,1.987,1.701,0.635,0.315,0.218,0.857,0.468,1.384
83,1.314,1.765,0.763,0.362,0.258,1.137,0.359,1.563
84,1.427,2.490,0.395,0.319,0.232,1.141,0.369,2.213
