,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.,0.
DCC_joint,nan,-76.7274,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,nan,-36.0272,43.256,-,0.0000,0.0000,0.0000,0.0000,0.,0.0000
SW_cross_validated,nan,-40.4136,34.3632,-6.2096,-,0.0000,0.0139,0.0000,0.0000,0.0000
SW_15,nan,-51.9994,17.0685,-20.2986,-13.8599,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-44.6558,31.4006,-10.1089,-3.5791,10.7551,-,0.0000,0.0000,0.0000
SW_60,nan,-111.5322,-38.5712,-81.3742,-69.1193,-48.0406,-67.338,-,0.0000,0.0000
SW_120,nan,-150.8145,-90.218,-127.1666,-111.2567,-86.4971,-111.3096,-60.5688,-,0.0000
sFC,nan,-140.8951,-73.7178,-115.2422,-98.3483,-72.4532,-98.1617,-36.6244,42.8496,-
