,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,0.05,1.41,6.87,3.89,2.64,1.56,0.20
DCC_bivariate_loop,,,0.05,,1.30,6.46,3.60,2.40,1.45,0.24
SW_cross_validated,,,1.41,1.30,,4.50,1.89,0.73,0.20,1.63
SW_15,,,6.87,6.46,4.50,,2.88,4.37,4.11,7.40
SW_30,,,3.89,3.60,1.89,2.88,,1.39,1.59,4.30
SW_60,,,2.64,2.40,0.73,4.37,1.39,,0.47,3.03
SW_120,,,1.56,1.45,0.20,4.11,1.59,0.47,,1.77
sFC,,,0.20,0.24,1.63,7.40,4.30,3.03,1.77,
