,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,60.02,18.06,21.84,44.48,22.57,18.26,28.53,173.28
DCC_joint,,60.02,,-47.98,-37.63,-13.71,-37.37,-48.10,-37.75,99.45
DCC_bivariate_loop,,18.06,-47.98,,6.00,31.11,6.68,0.13,11.68,186.72
SW_cross_validated,,21.84,-37.63,6.00,,22.88,0.56,-5.91,4.28,144.04
SW_15,,44.48,-13.71,31.11,22.88,,-22.50,-31.14,-21.18,110.32
SW_30,,22.57,-37.37,6.68,0.56,-22.50,,-6.59,3.69,145.49
SW_60,,18.26,-48.10,0.13,-5.91,-31.14,-6.59,,11.62,188.70
SW_120,,28.53,-37.75,11.68,4.28,-21.18,3.69,11.62,,175.09
sFC,,173.28,99.45,186.72,144.04,110.32,145.49,188.70,175.09,
