,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.88,1.43,1.27,1.41,2.10,0.64,0.38,0.69
DCC_joint,,0.88,,0.74,0.69,0.78,1.63,2.29,1.83,2.68
DCC_bivariate_loop,,1.43,0.74,,0.18,0.16,0.95,3.05,2.57,3.51
SW_cross_validated,,1.27,0.69,0.18,,0.04,0.53,2.12,1.86,2.24
SW_15,,1.41,0.78,0.16,0.04,,0.68,2.60,2.25,2.83
SW_30,,2.10,1.63,0.95,0.53,0.68,,3.68,3.26,4.06
SW_60,,0.64,2.29,3.05,2.12,2.60,3.68,,0.41,0.03
SW_120,,0.38,1.83,2.57,1.86,2.25,3.26,0.41,,0.53
sFC,,0.69,2.68,3.51,2.24,2.83,4.06,0.03,0.53,
