,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,nan,nan,nan,nan,nan,nan,nan,nan
DCC_joint,nan,nan,-,1.,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,nan,-1.8075,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.08
SW_cross_validated,nan,nan,-10.2874,-7.9687,-,0.0000,0.0000,0.0000,1.,0.0000
SW_15,nan,nan,-44.6817,-40.5943,-34.4839,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,nan,-27.8678,-24.6644,-17.6371,16.8056,-,0.0000,0.0000,0.0000
SW_60,nan,nan,-15.7582,-13.1316,-5.3697,29.5201,12.4771,-,0.0000,0.0000
SW_120,nan,nan,-8.7453,-6.6521,0.9107,33.1708,17.4299,5.9456,-,0.0000
sFC,nan,nan,1.2532,3.0014,11.5549,45.9883,29.1534,17.046,9.9332,-
