,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,8.1766e-21,8.8554e-26,1.0591e-65,1.4614e-194,1.0956e-139,4.6025e-91,1.9895e-55,2.0207e-16
DCC_joint,,8.1766e-21,,7.1443e-02,3.6189e-22,3.5953e-157,1.4405e-95,8.0371e-44,6.3374e-17,2.1088e-01
DCC_bivariate_loop,,8.8554e-26,7.1443e-02,,1.7071e-14,1.4430e-143,3.4793e-82,5.6275e-33,9.5747e-11,2.8564e-03
SW_cross_validated,,1.0591e-65,3.6189e-22,1.7071e-14,,1.3132e-121,7.4028e-52,1.3435e-07,3.6301e-01,7.9003e-27
SW_15,,1.4614e-194,3.5953e-157,1.4430e-143,1.3132e-121,,2.7811e-48,2.7614e-102,1.2615e-116,2.3996e-161
SW_30,,1.0956e-139,1.4405e-95,3.4793e-82,7.4028e-52,2.7811e-48,,2.2031e-30,5.7865e-51,8.3167e-101
SW_60,,4.6025e-91,8.0371e-44,5.6275e-33,1.3435e-07,2.7614e-102,2.2031e-30,,6.0303e-09,2.5885e-49
SW_120,,1.9895e-55,6.3374e-17,9.5747e-11,3.6301e-01,1.2615e-116,5.7865e-51,6.0303e-09,,6.4239e-21
sFC,,2.0207e-16,2.1088e-01,2.8564e-03,7.9003e-27,2.3996e-161,8.3167e-101,2.5885e-49,6.4239e-21,
