,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,-15.05,31.15,75.51,36.59,46.62,29.62,8.15
DCC_bivariate_loop,,,-15.05,,39.41,78.99,44.38,52.92,37.72,22.96
SW_cross_validated,,,31.15,39.41,,37.49,2.81,3.74,0.87,-28.61
SW_15,,,75.51,78.99,37.49,,-36.18,-40.51,-34.58,-76.53
SW_30,,,36.59,44.38,2.81,-36.18,,0.56,-1.74,-34.60
SW_60,,,46.62,52.92,3.74,-40.51,0.56,,-2.44,-47.10
SW_120,,,29.62,37.72,0.87,-34.58,-1.74,-2.44,,-27.00
sFC,,,8.15,22.96,-28.61,-76.53,-34.60,-47.10,-27.00,
