,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,-30.69,4.62,45.20,10.25,-10.29,10.31,94.15
DCC_bivariate_loop,,,-30.69,,27.70,71.12,38.71,21.15,34.31,128.06
SW_cross_validated,,,4.62,27.70,,31.02,3.39,-12.25,4.47,53.85
SW_15,,,45.20,71.12,31.02,,-33.65,-54.68,-27.25,19.58
SW_30,,,10.25,38.71,3.39,-33.65,,-19.96,1.70,70.18
SW_60,,,-10.29,21.15,-12.25,-54.68,-19.96,,18.35,110.47
SW_120,,,10.31,34.31,4.47,-27.25,1.70,18.35,,51.01
sFC,,,94.15,128.06,53.85,19.58,70.18,110.47,51.01,
