,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.36,0.67,1.27,4.38,2.89,1.21,1.15,0.87
DCC_joint,,0.36,,0.31,1.01,4.40,2.87,0.95,0.87,1.39
DCC_bivariate_loop,,0.67,0.31,,0.82,4.50,3.01,0.74,0.64,1.87
SW_cross_validated,,1.27,1.01,0.82,,3.35,1.44,0.08,0.23,2.37
SW_15,,4.38,4.40,4.50,3.35,,2.85,3.47,3.82,5.74
SW_30,,2.89,2.87,3.01,1.44,2.85,,1.58,1.99,4.82
SW_60,,1.21,0.95,0.74,0.08,3.47,1.58,,0.15,2.33
SW_120,,1.15,0.87,0.64,0.23,3.82,1.99,0.15,,2.36
sFC,,0.87,1.39,1.87,2.37,5.74,4.82,2.33,2.36,
