,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,3.6234e-01,7.3908e-01,2.6294e-04,2.2705e-10,4.2522e-07,2.9933e-05,2.6296e-04,8.1464e-01
DCC_joint,,3.6234e-01,,2.7576e-01,2.2656e-08,6.1394e-17,6.2246e-13,7.1324e-10,3.5909e-08,3.1787e-01
DCC_bivariate_loop,,7.3908e-01,2.7576e-01,,1.2955e-07,1.7560e-16,2.5825e-12,3.6029e-09,1.9592e-07,9.0210e-01
SW_cross_validated,,2.6294e-04,2.2656e-08,1.2955e-07,,3.3116e-11,8.8942e-05,1.6103e-01,9.2092e-01,1.9283e-06
SW_15,,2.2705e-10,6.1394e-17,1.7560e-16,3.3116e-11,,1.6546e-10,5.9739e-11,1.0048e-10,4.1404e-14
SW_30,,4.2522e-07,6.2246e-13,2.5825e-12,8.8942e-05,1.6546e-10,,1.8417e-03,1.9792e-04,2.4514e-10
SW_60,,2.9933e-05,7.1324e-10,3.6029e-09,1.6103e-01,5.9739e-11,1.8417e-03,,2.1013e-01,9.1568e-08
SW_120,,2.6296e-04,3.5909e-08,1.9592e-07,9.2092e-01,1.0048e-10,1.9792e-04,2.1013e-01,,2.3887e-06
sFC,,8.1464e-01,3.1787e-01,9.0210e-01,1.9283e-06,4.1404e-14,2.4514e-10,9.1568e-08,2.3887e-06,
