,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.26,0.09,1.81,7.00,4.16,2.55,1.71,0.74
DCC_joint,,0.26,,0.21,2.26,9.86,6.21,3.76,2.40,0.64
DCC_bivariate_loop,,0.09,0.21,,2.07,8.88,5.44,3.28,2.10,0.81
SW_cross_validated,,1.81,2.26,2.07,,3.52,1.16,0.01,0.47,2.68
SW_15,,7.00,9.86,8.88,3.52,,4.49,5.98,5.56,11.07
SW_30,,4.16,6.21,5.44,1.16,4.49,,2.06,2.37,7.32
SW_60,,2.55,3.76,3.28,0.01,5.98,2.06,,0.69,4.60
SW_120,,1.71,2.40,2.10,0.47,5.56,2.37,0.69,,3.00
sFC,,0.74,0.64,0.81,2.68,11.07,7.32,4.60,3.00,
