,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0065,1.,1.,0.0000,0.0000,0.0264,1.,0.0000
DCC_joint,nan,-4.6922,-,0.7126,1.,0.0000,0.0082,1.,0.1741,0.0000
DCC_bivariate_loop,nan,-1.8184,2.5573,-,1.,0.0000,0.0003,1.,1.,0.0000
SW_cross_validated,nan,-2.3498,0.8358,-0.9292,-,0.0000,0.1548,1.,1.,0.0004
SW_15,nan,-14.9203,-13.1555,-12.9315,-8.6064,-,0.0000,0.0000,0.0000,0.0001
SW_30,nan,-8.3561,-4.5882,-6.1155,-3.2651,10.1553,-,0.0131,0.0000,0.0001
SW_60,nan,-4.0614,0.3671,-2.0758,-0.5788,12.2034,4.3761,-,0.8187,0.0000
SW_120,nan,-2.1893,3.2118,-0.0507,0.9833,16.0519,8.0979,2.4908,-,0.0000
sFC,nan,-13.0137,-11.244,-10.5959,-6.0308,6.7008,-6.9903,-9.7132,-15.3424,-
