,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,0.32,1.09,0.69,2.34,1.78,5.52,6.24
DCC_bivariate_loop,,,0.32,,0.96,0.47,2.43,1.75,8.04,9.42
SW_cross_validated,,,1.09,0.96,,0.61,0.63,0.24,5.00,5.41
SW_15,,,0.69,0.47,0.61,,1.76,1.18,7.19,8.14
SW_30,,,2.34,2.43,0.63,1.76,,0.53,9.70,10.82
SW_60,,,1.78,1.75,0.24,1.18,0.53,,8.44,9.39
SW_120,,,5.52,8.04,5.00,7.19,9.70,8.44,,1.47
sFC,,,6.24,9.42,5.41,8.14,10.82,9.39,1.47,
