,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.0047,0.0011,0.0553,0.7013,0.0518,0.2039,0.0041,0.0000
DCC_joint,,0.0047,,0.4891,0.0000,0.0005,0.0000,0.0000,0.3907,0.0000
DCC_bivariate_loop,,0.0011,0.4891,,0.0000,0.0001,0.0000,0.0000,0.0875,0.0000
SW_cross_validated,,0.0553,0.0000,0.0000,,0.0551,0.9514,0.1383,0.0000,0.0000
SW_15,,0.7013,0.0005,0.0001,0.0551,,0.0512,0.2662,0.0001,0.0000
SW_30,,0.0518,0.0000,0.0000,0.9514,0.0512,,0.1260,0.0000,0.0000
SW_60,,0.2039,0.0000,0.0000,0.1383,0.2662,0.1260,,0.0000,0.0000
SW_120,,0.0041,0.3907,0.0875,0.0000,0.0001,0.0000,0.0000,,0.0000
sFC,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
