,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-0.89,-0.04,17.92,37.80,24.03,17.15,14.52,-3.05
DCC_joint,,-0.89,,0.79,19.32,39.21,25.16,18.22,15.59,-2.10
DCC_bivariate_loop,,-0.04,0.79,,16.34,35.29,22.62,16.12,13.61,-2.76
SW_cross_validated,,17.92,19.32,16.34,,27.14,11.41,3.12,-0.48,-25.25
SW_15,,37.80,39.21,35.29,27.14,,-11.65,-19.17,-22.90,-45.74
SW_30,,24.03,25.16,22.62,11.41,-11.65,,-6.93,-10.08,-29.56
SW_60,,17.15,18.22,16.12,3.12,-19.17,-6.93,,-3.02,-22.05
SW_120,,14.52,15.59,13.61,-0.48,-22.90,-10.08,-3.02,,-19.33
sFC,,-3.05,-2.10,-2.76,-25.25,-45.74,-29.56,-22.05,-19.33,
