,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.70,0.19,7.83,19.18,14.33,10.22,7.59,1.21
DCC_joint,,0.70,,0.45,8.19,19.11,14.38,10.45,7.96,0.45
DCC_bivariate_loop,,0.19,0.45,,7.03,17.59,12.89,9.12,6.87,0.89
SW_cross_validated,,7.83,8.19,7.03,,14.47,8.35,2.97,0.09,9.32
SW_15,,19.18,19.11,17.59,14.47,,6.96,12.12,13.90,20.48
SW_30,,14.33,14.38,12.89,8.35,6.96,,5.60,7.87,15.78
SW_60,,10.22,10.45,9.12,2.97,12.12,5.60,,2.72,11.73
SW_120,,7.59,7.96,6.87,0.09,13.90,7.87,2.72,,9.01
sFC,,1.21,0.45,0.89,9.32,20.48,15.78,11.73,9.01,
