,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.003,0.006,0.008,0.005,0.009,0.005,0.020,0.008,0.004,0.004,0.005,0.007
DCC_joint,0.004,0.005,0.005,0.005,0.003,0.003,0.003,0.005,0.006,0.002,0.003,0.004
DCC_bivariate_loop,0.004,0.004,0.005,0.005,0.004,0.003,0.004,0.005,0.002,0.003,0.003,0.004
SW_cross_validated,0.002,0.003,0.008,0.006,0.005,0.005,0.007,0.006,0.010,0.004,0.006,0.006
SW_15,0.003,0.005,0.007,0.004,0.003,0.004,0.006,0.006,0.008,0.004,0.008,0.005
SW_30,0.004,0.004,0.004,0.003,0.004,0.004,0.005,0.005,0.007,0.004,0.005,0.004
SW_60,0.005,0.004,0.004,0.003,0.004,0.004,0.002,0.006,0.004,0.003,0.005,0.004
SW_120,0.003,0.007,0.004,0.005,0.002,0.002,0.003,0.005,0.002,0.004,0.004,0.004
sFC,0.004,0.005,0.001,0.001,0.001,0.000,0.000,0.001,0.000,0.002,0.001,0.001
