,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-1.06,-0.53,2.24,15.56,12.09,5.95,3.17,-1.79
DCC_joint,,-1.06,,0.45,3.26,16.37,13.26,6.95,4.15,-0.73
DCC_bivariate_loop,,-0.53,0.45,,2.61,15.31,11.67,6.09,3.48,-1.13
SW_cross_validated,,2.24,3.26,2.61,,13.44,9.09,3.65,1.01,-3.95
SW_15,,15.56,16.37,15.31,13.44,,-7.50,-10.23,-12.21,-16.92
SW_30,,12.09,13.26,11.67,9.09,-7.50,,-4.69,-7.46,-14.04
SW_60,,5.95,6.95,6.09,3.65,-10.23,-4.69,,-2.51,-7.62
SW_120,,3.17,4.15,3.48,1.01,-12.21,-7.46,-2.51,,-4.81
sFC,,-1.79,-0.73,-1.13,-3.95,-16.92,-14.04,-7.62,-4.81,
